TOP_N,DEPENDENCY_FACTOR_0.8,METHOD_KNOWN,WITHOUT_SLICING,WTIHOUT_TREE,WITHOUT_METHODSCORE,WITHOUT_DEPENDENCY,DEPENDENCY_FACTOR_0.6,DEPENDENCY_FACTOR_0.4,DEPENDENCY_FACTOR_0.2
jxpath_top3,0.25,0.75,0,0,0.375,0.25,0.25,0.25,0.25
jxpath_top5,0.375,0.75,0.125,0,0.375,0.25,0.375,0.375,0.375
jxpath_top10,0.625,0.875,0.25,0.25,0.5,0.625,0.625,0.625,0.625
jxpath_MAR,15.64285714,4.357142857,22.5,35.5952381,15.67857143,17.67857143,16.21428571,16.85714286,15.71428571
jxpath_MFR,12.42857143,2.428571429,18.71428571,26.21428571,11,14.35714286,12.57142857,13.14285714,11.57142857
jxpath_ExamScore,0.377724701,0.450270318,0.415887605,0.469482445,0.373971446,0.465275631,0.38411791,0.414027027,0.412133287
math_top1,0.260869565,0.304347826,0.217391304,0.130434783,0.086956522,0.260869565,0.260869565,0.217391304,0.217391304
math_top3,0.47826087,0.695652174,0.347826087,0.347826087,0.434782609,0.47826087,0.47826087,0.434782609,0.434782609
math_top5,0.565217391,0.739130435,0.434782609,0.47826087,0.434782609,0.565217391,0.52173913,0.52173913,0.565217391
math_top10,0.739130435,0.782608696,0.608695652,0.52173913,0.565217391,0.695652174,0.739130435,0.739130435,0.695652174
math_MAR,12.94736842,5.988425926,27.94981061,22.32333333,17.40131579,11.62030075,12.35964912,10.62105263,11.53518519
math_MFR,5.815789474,2.083333333,14.34090909,11.9,9,5.736842105,5.815789474,4.973684211,5.694444444
math_ExamScore,0.364067658,0.548388745,0.227805642,0.370938694,0.469551173,0.391140875,0.366122375,0.355566577,0.387421035
jacksondatabind_top1,0.321428571,0.464285714,0.214285714,0,0.107142857,0.321428571,0.357142857,0.357142857,0.321428571
jacksondatabind_top3,0.5,0.678571429,0.357142857,0.214285714,0.321428571,0.464285714,0.571428571,0.5,0.464285714
jacksondatabind_top5,0.535714286,0.821428571,0.428571429,0.321428571,0.571428571,0.464285714,0.571428571,0.535714286,0.535714286
jacksondatabind_top10,0.642857143,0.892857143,0.571428571,0.321428571,0.571428571,0.678571429,0.642857143,0.571428571,0.607142857
