bug_id:best_result_FR;AR;ES
1:1.7976931348623157e+308,1.7976931348623157e+308,1.0
3:134.5,153.75,0.6167400881057269
5:248.5,248.5,0.9175627240143369
6:3.5,72.33333333333333,0.027777777777777776
7:1.5,13.0,0.12962962962962962
8:94.5,105.0,0.4803921568627451
14:3.0,3.0,0.01818181818181818
16:17.5,19.5,0.13793103448275862
17:14.0,14.0,0.0457516339869281
19:177.0,177.5,0.9521276595744681
20:27.5,28.5,0.358974358974359
21:4.5,37.375,0.05063291139240506
22:10.0,64.25,0.13855421686746988
24:2.0,33.5,0.02
29:232.5,277.25,0.6657223796033994
32:22.0,40.75,0.11282051282051282
33:1.7976931348623157e+308,1.7976931348623157e+308,1.0
35:27.5,77.0,0.23846153846153847
38:1.5,1.5,0.020833333333333332
39:12.5,60.625,0.18604651162790697
40:75.0,76.0,0.27835051546391754
42:7.0,7.0,0.0873015873015873
46:4.0,17.166666666666668,0.08333333333333333
50:98.0,151.5,0.40408163265306124
51:54.5,55.0,0.5714285714285714
52:8.0,13.0,0.04918032786885246
54:7.5,127.75,0.030864197530864196
56:46.5,56.5,0.3617021276595745
57:7.0,11.0,0.06622516556291391
58:3.5,4.5,0.03940886699507389
62:1.7976931348623157e+308,1.7976931348623157e+308,1.0
65:72.0,72.0,0.4030612244897959
67:131.5,154.0,0.7239583333333334
68:34.5,47.75,0.25874125874125875
71:28.0,28.5,0.13559322033898305
73:21.5,23.25,0.11518324607329843
74:3.0,3.5,0.018796992481203006
75:47.0,49.5,0.40932642487046633
76:1.7976931348623157e+308,1.7976931348623157e+308,1.0
77:10.0,10.0,0.08260869565217391
78:1.0,1.5,0.012269938650306749
79:73.5,73.5,0.5575757575757576
80:16.0,69.5,0.136
81:25.0,26.5,0.18666666666666668
86:142.5,143.0,0.3988919667590028
90:3.0,65.66666666666667,0.04
94:2.5,3.0,0.0223463687150838
96:50.5,55.5,1.0
100:2.0,7.0,0.03361344537815126
104:7.0,12.5,0.10526315789473684
105:46.0,47.5,0.25336927223719674
109:12.0,47.25,0.17857142857142858
113:35.5,36.5,0.19907407407407407
115:18.0,28.166666666666668,0.1016949152542373
116:18.0,39.5,0.07659574468085106
117:82.5,83.0,0.3111888111888112
118:10.0,10.5,0.05536332179930796
121:142.5,173.25,0.6517857142857143
122:3.0,4.5,0.09722222222222222
123:15.0,16.0,0.09375
124:20.0,21.0,0.10526315789473684
126:35.5,35.5,0.14861995753715498
127:136.5,142.66666666666666,0.31724137931034485
128:27.0,40.0,0.13615023474178403
130:106.5,106.5,0.6062176165803109
131:109.5,127.5,0.5188679245283019
132:74.5,111.75,0.5051546391752577
135:51.0,58.5,0.2465753424657534
136:5.5,17.666666666666668,0.10619469026548672
137:64.0,129.5,0.5818181818181818
141:5.0,42.166666666666664,0.0297029702970297
142:156.0,159.75,0.7810945273631841
143:117.0,119.0,0.9626865671641791
145:50.0,51.0,0.3925925925925926
146:10.0,10.0,0.08264462809917356
147:85.0,86.0,0.6691729323308271
148:26.5,62.166666666666664,0.65
150:11.5,11.5,0.0425531914893617
153:14.0,25.75,0.15822784810126583
154:14.5,18.0,0.18604651162790697
155:29.5,101.0,0.17989417989417988
157:1.0,8.666666666666666,0.07766990291262135
158:10.0,10.5,0.05319148936170213
162:8.0,89.91666666666667,0.057692307692307696
163:21.5,21.5,0.16312056737588654
164:10.0,13.5,0.052980132450331126
165:16.5,41.75,0.1497005988023952
166:1.0,1.0,0.005747126436781609
168:8.5,91.75,0.07575757575757576
169:1.0,60.375,0.04081632653061224
172:216.5,218.0,0.8079710144927537
173:3.5,63.375,0.05405405405405406
174:2.0,13.625,0.030303030303030304
175:18.0,41.25,0.10734463276836158
---------------statistics---------------
top1:4/94=0.0425531914893617
top3:14/94=0.14893617021276595
top5:20/94=0.2127659574468085
top10:34/94=0.3617021276595745
MAR:60.346759259259265
MFR:42.93888888888889
ExamScore:0.2854425175068547
